,Return_20d(%),Industry,Industry_Mean(%),Pure_Alpha(%)
COHR,19.328691205685764,Information Technology,16.887206417366862,2.4414847883189026
COST,3.7223016680104193,Consumer Staples,1.3626325749521067,2.3596690930583124
CCI,4.810480685479934,Real Estate,2.520137369146247,2.2903433163336873
PRU,1.8225955684775696,Financials,-0.4419704595967222,2.2645660280742916
FANG,5.533219467142558,Energy,3.2996634898349293,2.233555977307629
IQV,-0.4307421771283515,Health Care,-2.594343498529162,2.1636013214008103
NKE,-4.2873312784025615,Consumer Discretionary,-6.423873874030917,2.136542595628356
BK,1.670081272069046,Financials,-0.4419704595967222,2.112051731665768
D,-1.8992294802395615,Utilities,-4.010055050096472,2.1108255698569107
WMT,3.45174198411744,Consumer Staples,1.3626325749521067,2.0891094091653333
FTV,0.6364111102692194,Industrials,-1.4464699020042764,2.0828810122734955
ROST,-4.3844299254322205,Consumer Discretionary,-6.423873874030917,2.039443948598697
EIX,-2.017409187595498,Utilities,-4.010055050096472,1.9926458625009742
ES,-2.043187390903034,Utilities,-4.010055050096472,1.9668676591934382
APD,1.2102606879937472,Materials,-0.75091411325385,1.9611748012475974
OKE,5.18235117033603,Energy,3.2996634898349293,1.882687680501101
CNP,-2.132869191101028,Utilities,-4.010055050096472,1.8771858589954444
ABBV,-0.7193209652236021,Health Care,-2.594343498529162,1.8750225333055597
TMUS,1.3000006424753296,Communication Services,-0.5371745239801173,1.837175166455447
MET,1.3808461463982846,Financials,-0.4419704595967222,1.8228166059950068
FRT,4.282734107533548,Real Estate,2.520137369146247,1.762596738387301
NDSN,0.313608820248068,Industrials,-1.4464699020042764,1.7600787222523444
LVS,-4.717180503000618,Consumer Discretionary,-6.423873874030917,1.7066933710302994
ETR,-2.3165428860617787,Utilities,-4.010055050096472,1.6935121640346935
CPRT,0.24030644084516162,Industrials,-1.4464699020042764,1.686776342849438
ETN,0.23143695891760796,Industrials,-1.4464699020042764,1.6779068609218843
VLO,4.936753880812383,Energy,3.2996634898349293,1.6370903909774541
PGR,1.1902926809504333,Financials,-0.4419704595967222,1.6322631405471555
BKR,4.821620375373037,Energy,3.2996634898349293,1.5219568855381076
PNW,-2.4929153329823484,Utilities,-4.010055050096472,1.5171397171141239
BG,2.869283458103311,Consumer Staples,1.3626325749521067,1.5066508831512044
GM,-4.9207098889570755,Consumer Discretionary,-6.423873874030917,1.5031639850738419
AEE,-2.628287524910111,Utilities,-4.010055050096472,1.381767525186361
HLT,-5.0515993686145455,Consumer Discretionary,-6.423873874030917,1.3722745054163719
ADI,18.241536208983256,Information Technology,16.887206417366862,1.3543297916163937
CPB,2.5500011444091752,Consumer Staples,1.3626325749521067,1.1873685694570686
PLD,3.592079501863843,Real Estate,2.520137369146247,1.071942132717596
MAA,3.5413815042102614,Real Estate,2.520137369146247,1.0212441350640145
AEP,-3.0065694672944954,Utilities,-4.010055050096472,1.0034855828019769
LYB,0.2525563939846487,Materials,-0.75091411325385,1.0034705072384988
HST,3.4672424044013272,Real Estate,2.520137369146247,0.9471050352550803
AMP,0.498819828577135,Financials,-0.4419704595967222,0.9407902881738572
WRB,0.4849215111126792,Financials,-0.4419704595967222,0.9268919707094014
LIN,0.17412091020014842,Materials,-0.75091411325385,0.9250350234539985
APTV,-5.518873096962018,Consumer Discretionary,-6.423873874030917,0.9050007770688993
SO,-3.1575644103847833,Utilities,-4.010055050096472,0.8524906397116889
SPGI,0.36332740645648176,Financials,-0.4419704595967222,0.805297866053204
ALL,0.3024915681842266,Financials,-0.4419704595967222,0.7444620277809488
YUM,-5.694133681983315,Consumer Discretionary,-6.423873874030917,0.7297401920476023
DGX,-1.8695945685753501,Health Care,-2.594343498529162,0.7247489299538117
CINF,0.23875076527470895,Financials,-0.4419704595967222,0.6807212248714312
WMB,3.947367858976669,Energy,3.2996634898349293,0.6477043691417399
F,-5.821397585320653,Consumer Discretionary,-6.423873874030917,0.6024762887102639
TT,-0.9042235621873895,Industrials,-1.4464699020042764,0.5422463398168869
MPWR,17.413556660644414,Information Technology,16.887206417366862,0.5263502432775518
ATO,-3.497024714599184,Utilities,-4.010055050096472,0.5130303354972883
SRE,-3.5461767182243142,Utilities,-4.010055050096472,0.463878331872158
DOV,-1.0069557814280428,Industrials,-1.4464699020042764,0.4395141205762336
VTR,2.911882724382342,Real Estate,2.520137369146247,0.391745355236095
RJF,-0.21862002507249123,Financials,-0.4419704595967222,0.22335043452423098
NEM,-0.5364621737442676,Materials,-0.75091411325385,0.2144519395095824
DUK,-3.8449667982009217,Utilities,-4.010055050096472,0.16508825189555054
WEC,-3.862660944206009,Utilities,-4.010055050096472,0.1473941058904633
GEN,17.028024004956087,Information Technology,16.887206417366862,0.14081758758922547
NTAP,16.998683044135387,Information Technology,16.887206417366862,0.11147662676852477
ULTA,-6.419184380569732,Consumer Discretionary,-6.423873874030917,0.004689493461185634
LYV,-0.5352413977520731,Communication Services,-0.5371745239801173,0.0019331262280442019
DTE,-4.013813262545662,Utilities,-4.010055050096472,-0.003758212449190168
WAB,-1.4872043776781418,Industrials,-1.4464699020042764,-0.040734475673865456
CPT,2.475932700613792,Real Estate,2.520137369146247,-0.04420466853245486
KMI,3.252351459435099,Energy,3.2996634898349293,-0.04731203039983045
WBD,-0.584588052081414,Communication Services,-0.5371745239801173,-0.04741352810129662
DAL,-1.513248438847048,Industrials,-1.4464699020042764,-0.06677853684277157
TRV,-0.5841316537239405,Financials,-0.4419704595967222,-0.14216119412721828
JCI,-1.6226736255193552,Industrials,-1.4464699020042764,-0.17620372351507885
DOW,-0.9448389512933475,Materials,-0.75091411325385,-0.19392483803949745
ED,-4.204735062006759,Utilities,-4.010055050096472,-0.19468001191028694
TGT,1.1503388388205638,Consumer Staples,1.3626325749521067,-0.2122937361315429
WELL,2.30105483726164,Real Estate,2.520137369146247,-0.2190825318846068
HOOD,-0.7080510614785096,Financials,-0.4419704595967222,-0.2660806018817874
AME,-1.807049240195513,Industrials,-1.4464699020042764,-0.36057933819123655
CHRW,-1.8455882213119446,Industrials,-1.4464699020042764,-0.39911831930766817
DVN,2.872926490741534,Energy,3.2996634898349293,-0.42673699909339513
VRSK,-1.8929912054720277,Industrials,-1.4464699020042764,-0.4465213034677513
GPN,-0.9766737373880008,Financials,-0.4419704595967222,-0.5347032777912786
WYNN,-7.008233879281722,Consumer Discretionary,-6.423873874030917,-0.5843600052508044
UAL,-2.0581234294788864,Industrials,-1.4464699020042764,-0.61165352747461
LII,-2.059869154750671,Industrials,-1.4464699020042764,-0.6133992527463945
CMG,-7.073303366328498,Consumer Discretionary,-6.423873874030917,-0.649429492297581
EQIX,1.7973845456723314,Real Estate,2.520137369146247,-0.7227528234739156
PFE,-3.3174994135585223,Health Care,-2.594343498529162,-0.7231559150293605
PHM,-7.148676737243543,Consumer Discretionary,-6.423873874030917,-0.7248028632126253
AWK,-4.752977259839941,Utilities,-4.010055050096472,-0.7429222097434689
SWKS,16.131281530524767,Information Technology,16.887206417366862,-0.7559248868420951
CTVA,-1.55514567039432,Materials,-0.75091411325385,-0.80423155714047
EA,-1.3630758227522244,Communication Services,-0.5371745239801173,-0.825901298772107
DE,-2.3211464746522914,Industrials,-1.4464699020042764,-0.874676572648015
BMY,-3.486572765216689,Health Care,-2.594343498529162,-0.8922292666875271
CAG,0.4395916188109972,Consumer Staples,1.3626325749521067,-0.9230409561411095
BBY,-7.347570238895562,Consumer Discretionary,-6.423873874030917,-0.9236963648646448
TJX,-7.405786877707865,Consumer Discretionary,-6.423873874030917,-0.9819130036769472
KKR,-1.443788652629785,Financials,-0.4419704595967222,-1.0018181930330627
RCL,-7.45214047429995,Consumer Discretionary,-6.423873874030917,-1.028266600269033
EXR,1.3717051133938618,Real Estate,2.520137369146247,-1.1484322557523852
SNA,-2.604069247371432,Industrials,-1.4464699020042764,-1.1575993453671558
PSA,1.2976997777035315,Real Estate,2.520137369146247,-1.2224375914427155
PG,0.13192961922172675,Consumer Staples,1.3626325749521067,-1.23070295573038
T,-1.795476099738691,Communication Services,-0.5371745239801173,-1.2583015757585736
GPC,-7.725202680520738,Consumer Discretionary,-6.423873874030917,-1.3013288064898205
CB,-1.7728845304898488,Financials,-0.4419704595967222,-1.3309140708931266
JBL,15.537473724631656,Information Technology,16.887206417366862,-1.3497326927352056
FAST,-2.801716358105655,Industrials,-1.4464699020042764,-1.3552464561013784
ARE,1.1456278139590825,Real Estate,2.520137369146247,-1.3745095551871644
FDS,-1.8653536622765587,Financials,-0.4419704595967222,-1.4233832026798365
PEG,-5.496650784260815,Utilities,-4.010055050096472,-1.486595734164343
SPG,1.0199014569150844,Real Estate,2.520137369146247,-1.5002359122311626
VICI,0.934412496280812,Real Estate,2.520137369146247,-1.585724872865435
GILD,-4.271983004891833,Health Care,-2.594343498529162,-1.6776395063626715
AIG,-2.2072150380900157,Financials,-0.4419704595967222,-1.7652445784932935
MA,-2.224448247082733,Financials,-0.4419704595967222,-1.782477787486011
DXCM,-4.384435429356448,Health Care,-2.594343498529162,-1.7900919308272862
ACGL,-2.3284801817350376,Financials,-0.4419704595967222,-1.8865097221383154
TXT,-3.453863491564968,Industrials,-1.4464699020042764,-2.0073935895606914
MCD,-8.436114527170279,Consumer Discretionary,-6.423873874030917,-2.0122406531393615
KVUE,-0.690442679396952,Consumer Staples,1.3626325749521067,-2.053075254349059
ROL,-3.513223131606036,Industrials,-1.4464699020042764,-2.0667532296017592
FSLR,14.799861597664666,Information Technology,16.887206417366862,-2.0873448197021958
OMC,-2.6281407531453027,Communication Services,-0.5371745239801173,-2.0909662291651854
KEY,-2.565873413595998,Financials,-0.4419704595967222,-2.123902953999276
GLW,14.74076482182658,Information Technology,16.887206417366862,-2.1464415955402814
AON,-2.6151030196547853,Financials,-0.4419704595967222,-2.173132560058063
AMT,0.2607513437612008,Real Estate,2.520137369146247,-2.259386025385046
AMGN,-4.886029741050601,Health Care,-2.594343498529162,-2.2916862425214393
BX,-2.7364232547885448,Financials,-0.4419704595967222,-2.2944527951918223
GIS,-1.0086521069825771,Consumer Staples,1.3626325749521067,-2.371284681934684
KMB,-1.0806947428793623,Consumer Staples,1.3626325749521067,-2.4433273178314687
WM,-3.8971293264536966,Industrials,-1.4464699020042764,-2.4506594244494204
LH,-5.076800738042564,Health Care,-2.594343498529162,-2.4824572395134026
LOW,-8.923300457875104,Consumer Discretionary,-6.423873874030917,-2.499426583844187
PSKY,-3.113720842999901,Communication Services,-0.5371745239801173,-2.5765463190197835
WSM,-9.007433920052044,Consumer Discretionary,-6.423873874030917,-2.5835600460211268
OXY,0.6861633190483163,Energy,3.2996634898349293,-2.613500170786613
SBAC,-0.18800607972618844,Real Estate,2.520137369146247,-2.7081434488724354
XOM,0.5527987924658584,Energy,3.2996634898349293,-2.746864697369071
REGN,-5.344072147042123,Health Care,-2.594343498529162,-2.7497286485129613
PPG,-3.5092277459268795,Materials,-0.75091411325385,-2.7583136326730293
